iter	Passed	Remaining
0	58	58114
1	58	29139
2	58	19500
3	58	14676
4	59	11773
5	59	9836
6	59	8454
7	59	7414
8	60	6607
9	60	5961
10	60	5431
11	60	4989
12	60	4617
13	61	4298
14	61	4023
15	61	3781
16	61	3566
17	61	3382
18	62	3213
19	62	3059
20	62	2919
21	62	2792
22	63	2676
23	63	2570
24	63	2473
25	63	2383
26	63	2300
27	64	2222
28	64	2149
29	64	2082
30	64	2020
31	64	1961
32	65	1905
33	65	1852
34	65	1803
35	65	1757
36	65	1713
37	66	1671
38	66	1632
39	66	1594
40	66	1558
41	66	1526
42	67	1496
43	67	1467
44	67	1437
45	67	1409
46	68	1381
47	68	1356
48	68	1330
49	68	1306
50	68	1282
51	69	1261
52	69	1241
53	69	1220
54	69	1200
55	70	1180
56	70	1162
57	70	1144
58	70	1126
59	70	1109
60	71	1093
61	71	1077
62	71	1062
63	71	1047
64	71	1033
65	72	1020
66	72	1007
67	72	993
68	72	981
69	72	968
70	73	956
71	73	944
72	73	933
73	73	922
74	73	912
75	74	901
76	74	891
77	74	881
78	74	872
79	75	863
80	75	854
81	75	845
82	75	834
83	75	826
84	75	817
85	76	809
86	76	801
87	76	793
88	76	786
89	77	778
90	77	771
91	77	764
92	77	757
93	77	750
94	78	743
95	78	737
96	78	730
97	78	724
98	78	717
99	79	711
100	79	705
101	79	699
102	79	693
103	79	687
104	80	682
105	80	676
106	80	671
107	80	666
108	80	661
109	81	656
110	81	651
111	81	646
112	81	642
113	82	637
114	82	633
115	82	629
116	82	625
117	83	621
118	83	617
119	83	612
120	83	608
121	83	603
122	84	599
123	84	595
124	84	591
125	84	587
126	84	583
127	85	579
128	85	575
129	85	572
130	85	568
131	85	564
132	86	561
133	86	557
134	86	554
135	86	550
136	86	547
137	87	543
138	87	540
139	87	537
140	87	533
141	87	530
142	87	527
143	88	523
144	88	520
145	88	517
146	88	514
147	88	511
148	89	508
149	89	506
150	89	503
151	89	500
152	89	497
153	90	494
154	90	492
155	90	489
156	90	486
157	90	484
158	91	481
159	91	479
160	91	476
161	91	473
162	91	471
163	91	468
164	92	466
165	92	464
166	92	461
167	92	459
168	92	456
169	93	454
170	93	452
171	93	450
172	93	447
173	93	446
174	94	444
175	94	442
176	94	440
177	94	438
178	95	436
179	95	434
180	95	432
181	95	431
182	96	429
183	96	427
184	96	425
185	96	423
186	97	421
187	97	420
188	97	418
189	97	416
190	98	415
191	98	413
192	98	412
193	99	411
194	99	409
195	99	407
196	99	406
197	99	404
198	100	402
199	100	401
200	100	399
201	100	398
202	101	397
203	101	395
204	101	394
205	101	392
206	102	391
207	102	390
208	102	388
209	102	387
210	103	386
211	103	385
212	103	383
213	104	382
214	104	381
215	104	379
216	104	378
217	105	376
218	105	375
219	105	374
220	105	372
221	106	371
222	106	370
223	106	369
224	106	368
225	107	366
226	107	365
227	107	364
228	107	363
229	108	362
230	108	360
231	108	359
232	108	358
233	109	357
234	109	356
235	109	354
236	109	353
237	110	352
238	110	351
239	110	350
240	110	349
241	111	348
242	111	346
243	111	345
244	112	345
245	112	344
246	112	343
247	112	342
248	113	341
249	113	340
250	113	338
251	113	337
252	114	336
253	114	335
254	114	334
255	114	333
256	115	332
257	115	331
258	115	330
259	115	329
260	116	328
261	116	328
262	116	326
263	116	325
264	117	324
265	117	324
266	117	323
267	118	322
268	118	321
269	118	320
270	118	319
271	119	319
272	119	318
273	120	318
274	120	317
275	120	316
276	120	315
277	121	314
278	121	314
279	122	313
280	122	313
281	122	312
282	122	311
283	123	310
284	123	309
285	123	308
286	124	308
287	124	307
288	124	306
289	124	305
290	125	304
291	125	303
292	125	303
293	125	302
294	126	301
295	126	301
296	126	300
297	127	299
298	127	298
299	128	298
300	128	298
301	128	297
302	128	296
303	129	295
304	129	295
305	129	294
306	130	293
307	130	293
308	130	292
309	131	291
310	131	290
311	132	291
312	132	291
313	132	290
314	133	289
315	133	288
316	133	288
317	134	287
318	134	286
319	134	286
320	134	285
321	135	284
322	135	284
323	135	283
324	136	282
325	136	281
326	136	281
327	136	280
328	137	279
329	137	278
330	137	278
331	137	277
332	138	276
333	138	276
334	138	275
335	138	274
336	139	273
337	139	273
338	139	272
339	140	271
340	140	271
341	140	270
342	140	269
343	141	268
344	141	268
345	141	267
346	142	267
347	142	266
348	142	266
349	142	265
350	143	264
351	143	264
352	143	263
353	144	262
354	144	262
355	144	261
356	144	261
357	145	260
358	145	259
359	145	259
360	146	258
361	146	257
362	146	257
363	146	256
364	147	256
365	147	255
366	147	254
367	147	253
368	148	253
369	148	252
370	148	251
371	148	251
372	149	250
373	149	250
374	149	249
375	150	248
376	150	248
377	150	247
378	150	247
379	151	246
380	151	245
381	151	245
382	151	244
383	152	244
384	152	243
385	152	243
386	153	242
387	153	241
388	153	241
389	153	240
390	154	239
391	154	239
392	154	238
393	154	238
394	155	237
395	155	236
396	155	236
397	155	235
398	156	235
399	156	234
400	156	233
401	156	233
402	157	232
403	157	232
404	157	231
405	158	231
406	158	230
407	158	230
408	158	229
409	159	228
410	159	228
411	159	227
412	159	227
413	160	226
414	160	225
415	160	225
416	160	224
417	161	224
418	161	223
419	161	223
420	161	222
421	162	222
422	162	221
423	162	221
424	162	220
425	163	219
426	163	219
427	163	219
428	164	218
429	164	218
430	164	217
431	165	216
432	165	216
433	165	215
434	165	215
435	166	214
436	166	214
437	166	214
438	167	213
439	167	212
440	167	212
441	167	211
442	168	211
443	168	211
444	168	210
445	169	209
446	169	209
447	169	209
448	169	208
449	170	207
450	170	207
451	170	206
452	170	206
453	171	205
454	171	205
455	171	204
456	171	204
457	172	203
458	172	203
459	172	202
460	172	202
461	173	201
462	173	201
463	173	200
464	173	200
465	174	199
466	174	198
467	174	198
468	174	197
469	174	197
470	175	196
471	175	196
472	175	195
473	175	195
474	175	194
475	176	193
476	176	193
477	176	192
478	176	192
479	177	191
480	177	191
481	177	190
482	177	190
483	178	190
484	178	189
485	178	188
486	178	188
487	179	187
488	179	187
489	179	187
490	179	186
491	180	185
492	180	185
493	180	185
494	180	184
495	181	184
496	181	183
497	181	183
498	182	182
499	182	182
500	182	181
501	182	181
502	183	180
503	183	180
504	183	180
505	183	179
506	184	179
507	184	178
508	184	178
509	185	177
510	185	177
511	185	176
512	185	176
513	186	175
514	186	175
515	186	174
516	186	174
517	187	174
518	187	173
519	187	173
520	187	172
521	188	172
522	188	171
523	188	171
524	188	170
525	189	170
526	189	170
527	189	169
528	190	169
529	190	168
530	190	168
531	191	168
532	191	167
533	191	167
534	191	166
535	192	166
536	192	165
537	192	165
538	192	165
539	193	164
540	193	164
541	193	163
542	194	163
543	194	162
544	194	162
545	194	161
546	195	161
547	195	161
548	195	160
549	195	160
550	196	159
551	196	159
552	196	158
553	196	158
554	197	158
555	197	157
556	197	157
557	197	156
558	197	156
559	198	155
560	198	155
561	198	154
562	198	154
563	199	153
564	199	153
565	199	152
566	199	152
567	200	152
568	200	151
569	200	151
570	200	150
571	201	150
572	201	150
573	201	149
574	202	149
575	202	148
